Team_Name,logo
North Melbourne,https://logotyp.us/file/north-melbourne.svg
Sydney,https://logotyp.us/file/sydney-swans.svg
Geelong,https://logotyp.us/file/geelong.svg
Western Bulldogs,https://logotyp.us/file/western-bulldogs.svg
Essendon,https://logotyp.us/file/essendon.svg
Port Adelaide,https://logotyp.us/file/port-adelaide.svg
Gold Coast,https://logotyp.us/file/suns.svg
Collingwood,https://logotyp.us/file/collingwood.svg
Fremantle,https://logotyp.us/file/fremantle.svg
Hawthorn,https://logotyp.us/file/hawthorn-football.svg
West Coast,https://logotyp.us/file/west-coast-eagles.svg
Adelaide,https://logotyp.us/file/adelaide.svg
Carlton,https://logotyp.us/file/carlton.svg
Melbourne,https://logotyp.us/file/melbourne.svg
Brisbane Lions,https://logotyp.us/file/brisbane-lions.svg
Greater Western Sydney,https://logotyp.us/file/giants.svg
St Kilda,https://logotyp.us/file/st-kilda.svg
Richmond,https://logotyp.us/file/richmond.svg
